2025-05-10 12:40:23,577 | INFO | logs | User:Système | Action:création | Object:centre#1 | Nouvelle action utilisateur
2025-05-10 12:40:23,616 | INFO | logs | User:testuser | Action:consultation | Object:formation#1 | Nouvelle action utilisateur
2025-05-10 12:40:24,688 | INFO | logs | User:Système | Action:création | Object:centre#2 | Nouvelle action utilisateur
2025-05-10 12:40:24,723 | INFO | logs | User:testuser | Action:consultation | Object:formation#2 | Nouvelle action utilisateur
2025-05-10 12:40:24,729 | INFO | logs | User:testuser | Action:consultation | Object:formation#2 | Nouvelle action utilisateur
2025-05-10 12:40:25,609 | INFO | logs | User:Système | Action:création | Object:centre#3 | Nouvelle action utilisateur
2025-05-10 12:40:25,699 | INFO | logs | User:testuser | Action:modification | Object:formation#3 | Nouvelle action utilisateur
2025-05-10 12:40:26,564 | INFO | logs | User:Système | Action:création | Object:centre#4 | Nouvelle action utilisateur
2025-05-10 12:40:28,349 | INFO | logs | User:Système | Action:création | Object:centre#5 | Nouvelle action utilisateur
2025-05-10 12:40:28,419 | INFO | logs | User:testuser | Action:modification | Object:formation#5 | Nouvelle action utilisateur
2025-05-23 17:13:56,936 | INFO | centres_signals | User:system | Action:modification | Object:Centre #2 - Meudon1 | Centre mis à jour
2025-05-23 17:16:08,880 | INFO | centres_signals | User:system | Action:modification | Object:Centre #2 - Meudon1 | Centre mis à jour
2025-05-23 17:19:31,954 | INFO | centres_signals | User:system | Action:modification | Object:Centre #1 - Nanterre | Centre mis à jour
2025-05-23 17:19:36,717 | INFO | centres_signals | User:system | Action:modification | Object:Centre #4 - test | Centre mis à jour
2025-05-23 17:20:44,467 | INFO | centres_signals | User:system | Action:modification | Object:Centre #2 - Meudon1 | Centre mis à jour
2025-05-23 17:20:57,848 | INFO | centres_signals | User:system | Action:modification | Object:Centre #2 - Meudon1 | Centre mis à jour
2025-05-23 17:21:25,728 | INFO | centres_signals | User:system | Action:modification | Object:Centre #5 - test2a | Centre mis à jour
2025-05-23 18:45:48,583 | INFO | centres_signals | User:system | Action:création | Object:Centre #1 - Centre Cache | Nouveau centre créé
2025-05-23 18:45:49,152 | INFO | centres_signals | User:system | Action:création | Object:Centre #2 - Centre Suppr | Nouveau centre créé
2025-05-23 18:45:49,185 | INFO | centres_signals | User:system | Action:suppression | Object:Centre #2 - Centre Suppr | Centre supprimé (pré-delete)
2025-05-23 18:45:49,808 | INFO | centres_signals | User:system | Action:création | Object:Centre #3 - Centre Test | Nouveau centre créé
2025-05-23 18:45:50,299 | INFO | centres_signals | User:system | Action:création | Object:Centre #4 - Centre Stat | Nouveau centre créé
2025-05-23 18:45:50,714 | INFO | centres_signals | User:system | Action:création | Object:Centre #5 - Centre CSV | Nouveau centre créé
2025-05-23 18:45:51,148 | INFO | centres_signals | User:system | Action:création | Object:Centre #6 - Centre Rel | Nouveau centre créé
2025-05-23 18:45:51,792 | INFO | centres_signals | User:system | Action:création | Object:Centre #7 - Centre A | Nouveau centre créé
2025-05-23 18:45:51,795 | INFO | centres_signals | User:system | Action:création | Object:Centre #8 - Centre B | Nouveau centre créé
2025-05-23 18:45:52,250 | INFO | centres_signals | User:system | Action:création | Object:Centre #9 - Centre Inactif | Nouveau centre créé
2025-05-23 18:45:52,665 | INFO | centres_signals | User:system | Action:création | Object:Centre #10 - Centre Test | Nouveau centre créé
2025-05-23 18:45:53,176 | INFO | centres_signals | User:system | Action:création | Object:Centre #11 - Centre Alpha | Nouveau centre créé
2025-05-23 18:45:53,180 | INFO | centres_signals | User:system | Action:création | Object:Centre #12 - Centre Beta | Nouveau centre créé
2025-05-23 18:45:53,758 | INFO | centres_signals | User:system | Action:création | Object:Centre #13 - Centre A | Nouveau centre créé
2025-05-23 18:45:54,208 | INFO | centres_signals | User:system | Action:création | Object:Centre #14 - Centre JSON | Nouveau centre créé
2025-05-23 18:45:55,173 | INFO | centres_signals | User:system | Action:création | Object:Centre #15 - Centre Compte | Nouveau centre créé
2025-05-23 18:46:01,982 | INFO | centres_signals | User:system | Action:création | Object:Centre #16 - Centre Test | Nouveau centre créé
2025-05-23 18:46:02,708 | INFO | centres_signals | User:system | Action:création | Object:Centre #17 - Centre Test | Nouveau centre créé
2025-05-23 18:46:03,171 | INFO | centres_signals | User:system | Action:création | Object:Centre #18 - Centre Test | Nouveau centre créé
2025-05-23 18:46:04,275 | INFO | centres_signals | User:system | Action:création | Object:Centre #19 - Centre Test | Nouveau centre créé
2025-05-23 18:46:06,382 | INFO | centres_signals | User:system | Action:création | Object:Centre #20 - Centre Test | Nouveau centre créé
2025-05-23 18:46:07,910 | INFO | centres_signals | User:system | Action:création | Object:Centre #21 - Centre Test | Nouveau centre créé
2025-05-23 18:46:08,897 | INFO | centres_signals | User:system | Action:création | Object:Centre #22 - Centre Test | Nouveau centre créé
2025-05-23 18:46:10,248 | INFO | centres_signals | User:system | Action:création | Object:Centre #23 - Centre Test | Nouveau centre créé
2025-05-23 18:46:11,509 | INFO | centres_signals | User:system | Action:création | Object:Centre #24 - Centre Test | Nouveau centre créé
2025-05-23 18:46:13,087 | INFO | centres_signals | User:system | Action:création | Object:Centre #25 - Centre Test | Nouveau centre créé
2025-05-23 18:46:13,940 | INFO | centres_signals | User:system | Action:création | Object:Centre #26 - Centre Test | Nouveau centre créé
2025-05-23 18:46:15,119 | INFO | centres_signals | User:system | Action:création | Object:Centre #27 - Centre Test | Nouveau centre créé
2025-05-23 18:46:16,044 | INFO | centres_signals | User:system | Action:création | Object:Centre #28 - Centre Test | Nouveau centre créé
2025-05-23 18:46:16,806 | INFO | centres_signals | User:system | Action:création | Object:Centre #29 - Centre Test | Nouveau centre créé
2025-05-23 18:46:17,550 | INFO | centres_signals | User:system | Action:création | Object:Centre #30 - Centre Test | Nouveau centre créé
2025-05-23 18:46:18,250 | INFO | centres_signals | User:system | Action:création | Object:Centre #31 - Centre Test | Nouveau centre créé
2025-05-23 18:46:18,924 | INFO | centres_signals | User:system | Action:création | Object:Centre #32 - Centre Test | Nouveau centre créé
2025-05-23 18:46:19,575 | INFO | centres_signals | User:system | Action:création | Object:Centre #33 - Centre Test | Nouveau centre créé
2025-05-23 18:46:20,266 | INFO | centres_signals | User:system | Action:création | Object:Centre #34 - Centre Test | Nouveau centre créé
2025-05-23 18:46:21,133 | INFO | centres_signals | User:system | Action:création | Object:Centre #35 - Centre Test | Nouveau centre créé
2025-05-23 18:46:22,002 | INFO | centres_signals | User:system | Action:création | Object:Centre #36 - Centre Test | Nouveau centre créé
2025-05-23 18:46:22,574 | INFO | centres_signals | User:system | Action:création | Object:Centre #37 - Centre Test | Nouveau centre créé
2025-05-23 18:46:23,283 | INFO | centres_signals | User:system | Action:création | Object:Centre #38 - Centre Test | Nouveau centre créé
2025-05-23 18:46:24,565 | INFO | centres_signals | User:system | Action:création | Object:Centre #39 - Centre Test | Nouveau centre créé
2025-05-23 18:46:25,140 | INFO | centres_signals | User:system | Action:création | Object:Centre #40 - Centre Test | Nouveau centre créé
2025-05-23 18:46:25,847 | INFO | centres_signals | User:system | Action:création | Object:Centre #41 - Centre Test | Nouveau centre créé
2025-05-23 18:46:26,571 | INFO | centres_signals | User:system | Action:création | Object:Centre #42 - Centre Test | Nouveau centre créé
2025-05-23 18:46:27,405 | INFO | centres_signals | User:system | Action:création | Object:Centre #43 - Centre Test | Nouveau centre créé
2025-05-23 18:46:28,694 | INFO | centres_signals | User:system | Action:création | Object:Centre #44 - Centre Test | Nouveau centre créé
2025-05-23 18:46:29,627 | INFO | centres_signals | User:system | Action:création | Object:Centre #45 - Centre Test | Nouveau centre créé
2025-05-23 18:46:30,816 | INFO | centres_signals | User:system | Action:création | Object:Centre #46 - Centre Test | Nouveau centre créé
2025-05-23 18:46:31,721 | INFO | centres_signals | User:system | Action:création | Object:Centre #47 - Centre Test | Nouveau centre créé
2025-05-23 18:46:33,001 | INFO | centres_signals | User:system | Action:création | Object:Centre #48 - Centre Test | Nouveau centre créé
2025-05-23 18:46:33,542 | INFO | centres_signals | User:system | Action:création | Object:Centre #49 - Centre Test | Nouveau centre créé
2025-05-23 18:46:34,101 | INFO | centres_signals | User:system | Action:création | Object:Centre #50 - Centre Test | Nouveau centre créé
2025-05-23 18:46:35,044 | INFO | centres_signals | User:system | Action:création | Object:Centre #51 - Centre Test | Nouveau centre créé
2025-05-23 18:46:35,656 | INFO | centres_signals | User:system | Action:création | Object:Centre #52 - Centre Test | Nouveau centre créé
2025-05-23 18:46:36,180 | INFO | centres_signals | User:system | Action:création | Object:Centre #53 - Centre Test | Nouveau centre créé
2025-05-23 18:46:36,921 | INFO | centres_signals | User:system | Action:création | Object:Centre #54 - Centre Test | Nouveau centre créé
2025-05-23 18:46:37,570 | INFO | centres_signals | User:system | Action:création | Object:Centre #55 - Centre Test | Nouveau centre créé
2025-05-23 18:46:38,098 | INFO | centres_signals | User:system | Action:création | Object:Centre #56 - Centre Test | Nouveau centre créé
2025-05-23 18:46:38,738 | INFO | centres_signals | User:system | Action:création | Object:Centre #57 - Centre Test | Nouveau centre créé
2025-05-23 18:46:39,393 | INFO | centres_signals | User:system | Action:création | Object:Centre #58 - Centre Test | Nouveau centre créé
2025-05-23 18:46:39,910 | INFO | centres_signals | User:system | Action:création | Object:Centre #59 - Centre Test | Nouveau centre créé
2025-05-23 18:46:40,432 | INFO | centres_signals | User:system | Action:création | Object:Centre #60 - Centre Test | Nouveau centre créé
2025-05-23 18:46:41,706 | INFO | centres_signals | User:system | Action:création | Object:Centre #61 - Centre Test | Nouveau centre créé
2025-05-23 18:46:42,233 | INFO | centres_signals | User:system | Action:création | Object:Centre #62 - Centre Test | Nouveau centre créé
2025-05-23 18:46:42,865 | INFO | centres_signals | User:system | Action:création | Object:Centre #63 - Centre Test | Nouveau centre créé
2025-05-23 18:46:43,817 | INFO | centres_signals | User:system | Action:création | Object:Centre #64 - Centre Test | Nouveau centre créé
2025-05-23 18:46:44,383 | INFO | centres_signals | User:system | Action:création | Object:Centre #65 - Centre Test | Nouveau centre créé
2025-05-23 18:46:45,009 | INFO | centres_signals | User:system | Action:création | Object:Centre #66 - Centre Test | Nouveau centre créé
2025-05-23 18:46:45,947 | INFO | centres_signals | User:system | Action:création | Object:Centre #67 - Centre Test | Nouveau centre créé
2025-05-23 18:46:46,470 | INFO | centres_signals | User:system | Action:création | Object:Centre #68 - Centre Test | Nouveau centre créé
2025-05-23 18:46:46,978 | INFO | centres_signals | User:system | Action:création | Object:Centre #69 - Centre Test | Nouveau centre créé
2025-05-23 18:46:47,502 | INFO | centres_signals | User:system | Action:création | Object:Centre #70 - Centre Test | Nouveau centre créé
2025-05-23 18:46:48,293 | INFO | centres_signals | User:system | Action:création | Object:Centre #71 - Centre Test | Nouveau centre créé
2025-05-23 18:46:49,149 | INFO | centres_signals | User:system | Action:création | Object:Centre #72 - Centre Test | Nouveau centre créé
2025-05-23 18:46:49,731 | INFO | centres_signals | User:system | Action:création | Object:Centre #73 - Centre Test | Nouveau centre créé
2025-05-23 18:46:50,417 | INFO | centres_signals | User:system | Action:création | Object:Centre #74 - Centre Test | Nouveau centre créé
